gateway_id,gateway_txn_id,amount,merchant_name,settlement_date,settlement_datetime,payment_mode,gateway_status
GTW000137,TXN400205540318,62746.81,Iyer Logistics Industries,2026-07-11,2026-07-11 11:35:21,NEFT,SETTLED
GTW000057,TXN0534133,77383.64,Krishna Apparels Industries,2026-06-05,2026-06-05 08:45:51,UPI,SETTLED
GTW000033,TXN111571247952,86136.67,Kulkarni Packaging Trading Co,2026-06-17,2026-06-17 18:07:05,NEFT,SETTLED
GTW000071,TXN7203516,155765.22,Kapoor & Sons,2026-07-11,2026-07-11 19:28:50,NEFT,SETTLED
GTW000112,TXN471045510557,178025.76,Chatterjee Fintech Enterprises,2026-06-07,2026-06-07 05:25:33,RTGS,SETTLED
GTW000003,TXN781165354259,146297.88,Joshi & Co,2026-06-09,2026-06-09 14:04:35,UPI,SETTLED
GTW000128,TXN-1783-8075-9187,56355.58,Chawla & Sons Pvt Ltd,2026-07-06,2026-07-06 17:21:20,CARD,SETTLED
GTW000123,TXN131355445991-S2,16476.58,Chawla Enterprises LLP,2026-06-21,2026-06-21 01:23:55,RTGS,SETTLED
GTW000054,TXN724234404631,95378.14,Menon & Sons Pvt Ltd,2026-06-07,2026-06-07 19:38:02,CARD,SETTLED
GTW000020,TXN096748573316,23577.25,Vertex Wellness & Sons,2026-07-22,2026-07-22 06:50:44,UPI,SETTLED
GTW000037,TXN8013752,156386.46,Modern Foods,2026-06-15,2026-06-15 19:43:32,RTGS,SETTLED
GTW000086,TXN526952045773,177258.68,Royal Commerce Private Limited,2026-06-27,2026-06-27 20:25:04,UPI,SETTLED
GTW000145,1985974347,223649.74,Laxmi Steel Pvt Ltd,2026-06-03,2026-06-03 02:58:40,UPI,SETTLED
GTW000022,TXN908549238857,16238.35,Menon Bakers Pvt Ltd,2026-06-14,2026-06-14 13:00:37,CARD,SETTLED
GTW000065,TXN948890607956-S2,109356.76,Malhotra Fashions Enterprises,2026-07-09,2026-07-09 13:37:51,NEFT,SETTLED
GTW000108,TXN233459268687,45030.89,Nair Motors & Sons,2026-07-10,2026-07-10 14:49:51,RTGS,SETTLED
GTW000001,TXN481367606524,176191.54,Annapurna Enterprises & Sons,2026-07-26,2026-07-26 05:52:48,RTGS,SETTLED
GTW000055,TXN553136787963,17005.35,Modern Electronics Enterprises,2026-07-22,2026-07-22 04:46:25,UPI,SETTLED
GTW000151,TXN392416664840,231087.78,Chatterjee Timber Pvt Ltd,2026-06-25,2026-06-25 22:06:21,NEFT,SETTLED
GTW000090,TXN059498419369,132894.16,Jai Bakers Enterprises,2026-07-16,2026-07-16 16:11:08,NEFT,SETTLED
GTW000084,TXN150572961937-S2,70769.82,Joshi & Sons,2026-06-26,2026-06-26 03:12:47,CARD,SETTLED
GTW000051,TXN039728558277,15305.31,Classic Enterprises & Sons,2026-07-12,2026-07-12 20:51:52,UPI,SETTLED
GTW000117,TXN963794025555,228623.93,Vertex Packaging LLP,2026-07-12,2026-07-12 22:24:05,CARD,SETTLED
GTW000127,TXN189546484007-S3,5744.78,Kapoor & Sons,2026-07-26,2026-07-26 12:33:59,IMPS,SETTLED
GTW000074,TXN2990638,106683.29,Menon & Sons,2026-07-17,2026-07-17 09:17:34,IMPS,SETTLED
GTW000066,TXN627698351396,97022.67,Kapoor Logistics Enterprises,2026-06-05,2026-06-05 12:05:04,CARD,SETTLED
GTW000103,TXN036008562293,60848.13,Gupta Beverages Enterprises,2026-06-06,2026-06-06 17:22:38,NEFT,SETTLED
GTW000000,TXN333204190268,40082.84,Nair & Co,2026-07-18,2026-07-18 23:45:30,UPI,SETTLED
GTW000018,TXN661956365163,664.63,Rana Fashions Enterprises,2026-06-28,2026-06-28 05:59:10,RTGS,SETTLED
GTW000132,TXN880966873984-S1,86284.7,Mehta Grocers Trading Co,2026-07-02,2026-07-02 12:37:45,UPI,SETTLED
GTW000130,TXN864678855519,112550.51,Classic Foods & Sons,2026-06-14,2026-06-14 20:53:36,RTGS,SETTLED
GTW000111,TXN742531537220,86572.67,Om Commerce Industries,2026-07-20,2026-07-20 12:26:51,RTGS,SETTLED
GTW000073,TXN-3720-4491-2132,92188.06,Menon Handlooms Enterprisse,2026-06-12,2026-06-12 16:50:37,IMPS,SETTLED
GTW000070,TXN-0988-9433-3023,129062.34,Krishna Plastics Traidng Co,2026-07-28,2026-07-28 19:56:39,IMPS,SETTLED
GTW000008,TXN219547810444,14866.67,Shiv Textiles,2026-06-16,2026-06-16 09:54:54,IMPS,SETTLED
GTW000026,709209002862,53065.36,Mehta & Sons Pvt Ltd,2026-06-17,2026-06-17 01:35:05,UPI,SETTLED
GTW000072,TXN376773058174,97751.54,Chatterjee Grocers & Co,2026-07-18,2026-07-18 00:34:37,UPI,SETTLED
GTW000140,TXN080333845149,73996.4,Prime Handlooms Private Limited,2026-06-16,2026-06-16 18:50:40,CARD,SETTLED
GTW000031,TXN747664702635,85271.15,Mehta Automation Pvt Ltd,2026-07-04,2026-07-04 09:39:15,NEFT,SETTLED
GTW000042,TXN3377800,242339.52,Chatterjee Ent Indus,2026-07-25,2026-07-25 23:13:02,CARD,SETTLED
GTW000144,TXN345296450811,205678.67,Nair Brothers,2026-07-17,2026-07-17 06:00:45,UPI,SETTLED
GTW000002,txn409572486117,172108.74,Verma &Co,2026-07-23,2026-07-23 05:19:29,RTGS,SETTLED
GTW000076,TXN101798996752,65580.77,Patel Brothers,2026-07-14,2026-07-14 19:56:28,UPI,SETTLED
GTW000081,TXN121410984998,85161.22,Kulkarni Packaging Industries,2026-06-09,2026-06-09 10:10:28,CARD,SETTLED
GTW000092,TXN717820269346,58243.13,Krishna Bakers LLP,2026-07-30,2026-07-30 05:22:24,IMPS,SETTLED
GTW000101,TXN578289542557,58721.51,Maa Steel & Co,2026-06-15,2026-06-15 23:51:23,RTGS,SETTLED
GTW000134,TXN880966873984-S3,47805.53,Mehta Grocers Trading Co,2026-07-02,2026-07-02 12:47:45,UPI,SETTLED
GTW000125,TXN189546484007-S1,15901.97,Kapoor & Sons,2026-07-26,2026-07-26 12:23:59,IMPS,SETTLED
GTW000015,TXN031914751961-S2,45031.41,Verma & Sons,2026-07-11,2026-07-11 14:35:46,RTGS,SETTLED
GTW000129,TXN864678855519,112550.51,Classic Foods & Sons,2026-06-14,2026-06-14 20:52:09,RTGS,SETTLED
GTW000105,TXN055721252593,80180.11,Bose & Sons,2026-07-07,2026-07-07 08:47:30,NEFT,SETTLED
GTW000050,TXN869262423939,34090.91,Bansal Bakers LLP,2026-07-27,2026-07-27 12:45:25,UPI,SETTLED
GTW000007,TXN736384200550,41459.24,Bose Hardware,2026-07-19,2026-07-19 23:51:44,NEFT,SETTLED
GTW000045,TXN978972821277,248203.23,Chatterjee Plastics Pvt Ltd,2026-07-07,2026-07-07 21:30:13,UPI,SETTLED
GTW000082,TXN034250258620,180342.79,Prime Steel Trading Co,2026-07-02,2026-07-02 12:55:07,UPI,SETTLED
GTW000119,TXN491913424446-S2,62546.46,Agarwal Apparels Enterprises,2026-06-02,2026-06-02 17:41:43,RTGS,SETTLED
GTW000102,TXN421522814044,106935.57,Malhotra & Sons Pvt Ltd,2026-07-21,2026-07-21 17:17:55,IMPS,SETTLED
GTW000087,TXN425648775594,60719.68,Reddy Fashions Pvt Ltd,2026-06-28,2026-06-28 20:09:46,NEFT,SETTLED
GTW000110,TXN925586537760,140946.26,Sharma & Co,2026-07-08,2026-07-08 01:00:39,IMPS,SETTLED
GTW000046,TXN319342783521,34333.62,Malhotra Mart & Co,2026-07-21,2026-07-21 10:49:54,CARD,SETTLED
GTW000030,TXN329247563434-S2,49523.78,Menon & Sons Pvt Ltd,2026-07-24,2026-07-24 00:04:50,RTGS,SETTLED
GTW000100,TXN066982054682,205890.51,Nair Brothers,2026-06-13,2026-06-13 21:41:04,UPI,SETTLED
GTW000141,TXN080333845149,73996.4,Prime Handlooms Private Limited,2026-06-16,2026-06-16 18:52:11,CARD,SETTLED
GTW000147,TXN566037373294,123492.49,Sunrise Motors LLP,2026-06-01,2026-06-01 15:41:16,NEFT,SETTLED
GTW000124,TXN131355445991-S3,121391.12,Chawla Enterprises LLP,2026-06-21,2026-06-21 01:28:55,RTGS,SETTLED
GTW000088,TXN299776445972,115049.78,Joshi Pharma Trading Co,2026-06-13,2026-06-13 10:41:32,CARD,SETTLED
GTW000004,TXN498251982661,28858.59,Malhotra Brothers,2026-06-08,2026-06-08 06:38:07,NEFT,SETTLED
GTW000135,TXN091494998388-S1,30779.37,Pillai Commerce Pvt Ltd,2026-06-03,2026-06-03 05:11:00,IMPS,SETTLED
GTW000052,TXN137502141043,69524.42,Sunrise Pharma LLP,2026-06-08,2026-06-08 23:40:17,UPI,SETTLED
GTW000078,TXN3876194,205868.3,Mahotra & Sons,2026-06-29,2026-06-29 17:57:50,CARD,SETTLED
GTW000062,TXN170964556869,239625.9,Laxmi Electronics LLP,2026-06-17,2026-06-17 02:39:50,CARD,SETTLED
GTW000106,TXN749560089674,122303.63,Pillai Rides LLP,2026-07-17,2026-07-17 13:41:08,NEFT,SETTLED
GTW000012,TXN623704990229,141403.32,Patel Brothers,2026-06-16,2026-06-16 05:29:28,NEFT,SETTLED
GTW000142,TXN744651009913,17048.96,Sri Furnishings,2026-06-19,2026-06-19 22:36:24,CARD,SETTLED
GTW000139,TXN262672908826,110701.51,Maa Foods Industries,2026-06-23,2026-06-23 16:46:33,NEFT,SETTLED
GTW000113,134044402265,3273.97,Sunrise Motors,2026-06-11,2026-06-11 23:24:16,NEFT,SETTLED
GTW000019,TXN763465797626,43687.34,Bansal & Sons,2026-06-20,2026-06-20 09:42:03,IMPS,SETTLED
GTW000093,TXN703261664434,212833.33,Jai Commerce LLP,2026-07-17,2026-07-17 14:11:29,RTGS,SETTLED
GTW000122,TXN131355445991-S1,38702.75,Chawla Enterprises LLP,2026-06-21,2026-06-21 01:18:55,RTGS,SETTLED
GTW000075,TXN937553621743,59176.87,Chatterjee & Sons,2026-07-09,2026-07-09 07:08:02,IMPS,SETTLED
GTW000053,TXN984174831165,113105.93,Verma Cables & Co,2026-06-30,2026-06-30 21:57:47,UPI,SETTLED
GTW000069,TXN318781446242,127049.44,Agarwal Mart Enterprises,2026-07-27,2026-07-27 16:49:32,CARD,SETTLED
GTW000089,TXN342425961652,135954.68,Joshi & Co,2026-06-19,2026-06-19 01:12:31,UPI,SETTLED
GTW000148,TXN484755635061,243158.09,Gupta & Sons,2026-07-29,2026-07-29 10:09:15,CARD,SETTLED
GTW000121,TXN342856565386,97370.77,Balaji Textiles Private Limited,2026-07-22,2026-07-22 18:23:14,RTGS,SETTLED
GTW000085,TXN851819336855,188797.71,Chatterjee Steel Pvt Ltd,2026-06-03,2026-06-03 03:57:55,RTGS,SETTLED
GTW000047,TXN879983705466,236150.77,Kulkarni & Sons,2026-06-30,2026-06-30 04:40:26,NEFT,SETTLED
GTW000058,TXN142646035032-S1,49507.39,Kapoor & Sons Pvt Ltd,2026-06-27,2026-06-27 06:20:25,CARD,SETTLED
GTW000049,TXN366647610091,205724.09,Vertex Industries,2026-06-02,2026-06-02 20:28:06,CARD,SETTLED
GTW000034,TXN2967102,74202.73,Sharma & Co,2026-06-18,2026-06-18 00:08:21,CARD,SETTLED
GTW000060,8080098557,72479.88,Bose & Co,2026-06-09,2026-06-09 08:52:37,NEFT,SETTLED
GTW000024,TXN789959560481-S2,65118.15,Bose & Sons Pvt Ltd,2026-06-02,2026-06-02 13:00:20,IMPS,SETTLED
GTW000136,TXN091494998388-S2,53815.85,Pillai Commerce Pvt Ltd,2026-06-03,2026-06-03 05:16:00,IMPS,SETTLED
GTW000126,TXN189546484007-S2,13587.39,Kapoor & Sons,2026-07-26,2026-07-26 12:28:59,IMPS,SETTLED
GTW000138,TXN-7719-1506-4761,119525.67,Jai Electronic Enterp,2026-06-24,2026-06-24 10:36:16,IMPS,SETTLED
GTW000009,TXN144229485098,168487.43,Sri Furnishings Enterprises,2026-07-22,2026-07-22 05:40:51,NEFT,SETTLED
GTW000011,TXN190156218256,144911.68,Kulkarni Logistics Pvt Ltd,2026-07-08,2026-07-08 13:42:28,CARD,SETTLED
GTW000035,TXN917672544893,100274.33,Rana Logistics LLP,2026-06-10,2026-06-10 19:35:03,UPI,SETTLED
GTW000029,TXN329247563434-S1,104603.26,Menon & Sons Pvt Ltd,2026-07-23,2026-07-23 23:59:50,RTGS,SETTLED
GTW000104,TXN323246338487,53088.81,Reddy Interiors & Sons,2026-07-15,2026-07-15 21:55:00,NEFT,SETTLED
GTW000077,TXN243549180374,178088.71,Iyer Grocers,2026-06-15,2026-06-15 06:37:17,NEFT,SETTLED
GTW000118,TXN491913424446-S1,53366.82,Agarwal Apparels Enterprises,2026-06-02,2026-06-02 17:36:43,RTGS,SETTLED
GTW000016,TXN221784619898,145704.66,Sri Wellness Enterprises,2026-07-28,2026-07-28 00:59:22,RTGS,SETTLED
GTW000056,TXN588986609821,53368.02,Jai Packaging,2026-06-24,2026-06-24 02:50:39,RTGS,SETTLED
GTW000083,TXN150572961937-S1,149934.2,Joshi & Sons,2026-06-26,2026-06-26 03:07:47,CARD,SETTLED
GTW000143,TXN044637717719,190906.33,Gupta Wellness Industries,2026-07-17,2026-07-17 07:45:02,NEFT,SETTLED
GTW000006,TXN883089040771,134991.08,Sharma Fintech Trading Co,2026-06-02,2026-06-02 07:01:24,RTGS,SETTLED
GTW000120,TXN115924164061,11384.37,Shiv Electronics LLP,2026-07-30,2026-07-30 23:34:40,CARD,SETTLED
GTW000059,TXN142646035032-S2,18693.14,Kapoor & Sons Pvt Ltd,2026-06-27,2026-06-27 06:25:25,CARD,SETTLED
GTW000027,TXN713595939158,141079.58,Mehta Grocers LLP,2026-07-09,2026-07-09 20:48:21,UPI,SETTLED
GTW000095,TXN493797887657,159825.12,Kapoor & Co,2026-06-15,2026-06-15 00:37:49,NEFT,SETTLED
GTW000097,TXN518467484014,175993.73,Reddy Logistics,2026-07-28,2026-07-28 18:37:28,CARD,SETTLED
GTW000149,TXN793028198550,171642.81,Kapoor Mart & Sons,2026-07-24,2026-07-24 13:32:21,UPI,SETTLED
GTW000067,TXN627698351396,97022.67,Kapoor Logistics Enterprises,2026-06-05,2026-06-05 12:05:51,CARD,SETTLED
GTW000094,TXN552326416987,119534.65,Balaji Handlooms & Sons,2026-06-29,2026-06-29 11:02:40,RTGS,SETTLED
GTW000116,TXN-7094-4596-5738,198858.62,Nova Wellnses & Sons,2026-06-17,2026-06-17 23:57:52,IMPS,SETTLED
