bank_id,reference_no,amount,narration,value_date,value_datetime,txn_mode
BNK000126,TXN262672908826,110701.61,Maa Foods Industries,2026-06-23,2026-06-23 15:20:42,NEFT
BNK000079,TXN646294862004,7243.5,Chawla Pharma & Sons,2026-07-19,2026-07-19 18:45:35,CARD
BNK000081,TXN034250258620,180342.79,Prime Steel Trading Co,2026-07-03,2026-07-03 01:59:51,UPI
BNK000130,431985974347,223649.74,Laxmi Steel Pvt Ltd,2026-06-03,2026-06-03 00:52:16,UPI
BNK000002,TXN-4813-6760-6524,176191.54,Annapurna Enterprises and Sons,2026-07-26,2026-07-26 05:26:39,RTGS
BNK000084,TXN526952045773,177258.68,Royal Commerce Private Limited,2026-06-27,2026-06-27 19:30:02,UPI
BNK000046,TXN319342783521,34333.62,Malhotra Mart & Co,2026-07-21,2026-07-21 17:42:23,CARD
BNK000122,TXN880966873984,192295.88,Mehta Grocers Trading Co,2026-07-02,2026-07-02 09:47:27,UPI
BNK000091,TXN552326416987,119534.65,Balaji Handlooms & Sons,2026-06-29,2026-06-29 11:12:16,RTGS
BNK000038,TXN672594619621,164519.72,Verma & Co,2026-07-04,2026-07-04 13:51:53,IMPS
BNK000049,TXN869262423939,34090.91,Bansal Bakers LLP,2026-07-27,2026-07-27 17:33:54,UPI
BNK000065,TXN318781446242,127049.44,Agarwal Mart Enterprises,2026-07-27,2026-07-27 20:59:31,CARD
BNK000083,TXN851819336855,188797.04,Chatterjee Steel Pvt Ltd,2026-06-03,2026-06-03 02:55:35,RTGS
BNK000020,TXN763465797626,43687.34,Bansal & Sons,2026-06-20,2026-06-20 07:51:31,IMPS
BNK000111,TXN919170792780,242023.42,Chatterjee Brothers,2026-07-23,2026-07-23 13:30:46,UPI
BNK000080,TXN121410984998,85161.22,Kulkarni Packaging Industries,2026-06-09,2026-06-09 07:38:58,CARD
BNK000107,TXN742531537220,86573.16,Om Commerce Industries,2026-07-20,2026-07-20 10:13:25,RTGS
BNK000059,TXN255333315159,101442.65,Bharat Rides Enterprises,2026-06-06,2026-06-06 11:48:19,UPI
BNK000132,TXN566037373294,123492.49,Sunrise Motors LLP,2026-06-01,2026-06-01 16:01:12,NEFT
BNK000026,TXN-7092-0900-2862,53065.36,Mehta & Sons Pvt Ltd,2026-06-17,2026-06-17 00:41:03,UPI
BNK000024,TXN908549238857,16238.35,Menon Bakers Pvt Ltd,2026-06-14,2026-06-14 09:41:11,CARD
BNK000097,8289542557,58721.51,Maa Steel &Co,2026-06-15,2026-06-15 23:51:51,RTGS
BNK000033,TXN917672544893,100274.33,Rana Logistics LLP,2026-06-10,2026-06-10 22:17:47,UPI
BNK000005,TXN498251982661,28858.59,Malhotra Brothers,2026-06-08,2026-06-08 07:48:15,NEFT
BNK000001,TXN333204190268,40082.84,Nair & Co,2026-07-19,2026-07-19 10:31:35,UPI
BNK000117,TXN131355445991,176570.45,Chawla Enterprises LLP,2026-06-21,2026-06-21 04:16:23,RTGS
BNK000072,TXN372044912132,92188.06,Menon Handlooms Enterprises,2026-06-12,2026-06-12 18:51:46,IMPS
BNK000068,TXN400285751230,162621.35,Sri Fresh Foods Trading Co,2026-07-15,2026-07-15 01:10:38,IMPS
BNK000004,TXN781165354259,146297.88,Joshi & Co,2026-06-09,2026-06-09 18:14:21,UPI
BNK000133,TXN171143137448,78934.28,Kulkarni Fintech Trading Co,2026-06-18,2026-06-18 08:48:34,NEFT
BNK000102,TXN749560089674,122303.63,Pillai Rides LLP,2026-07-17,2026-07-17 13:06:11,NEFT
BNK000086,TXN299776445972,115049.78,Joshi Pharma Trading Co,2026-06-13,2026-06-13 08:52:33,CARD
BNK000009,TXN144229485098,168487.43,Sri Furnishings Enterprises,2026-07-22,2026-07-22 02:30:23,NEFT
BNK000108,TXN471045510557,178025.76,Chatterjee Fintech Enterprises,2026-06-07,2026-06-07 05:58:18,RTGS
BNK000000,TXN040250165258,159913.48,Shah & Co,2026-06-09,2026-06-09 23:56:16,CARD
BNK000022,TXN028486959867,215218.66,Shah & Co,2026-07-22,2026-07-22 22:35:39,IMPS
BNK000021,TXN096748573316,23577.25,Vertex Wellness & Sons,2026-07-22,2026-07-22 06:53:06,UPI
BNK000124,TXN400205540318,62746.81,Iyer Logistics Industries,2026-07-11,2026-07-11 07:15:48,NEFT
BNK000078,TXN135519167685,56577.8,Rao Enterprises & Co,2026-06-13,2026-06-13 22:05:21,RTGS
BNK000048,TXN366647610091,205724.09,Vertex Industries,2026-06-02,2026-06-02 16:33:17,CARD
BNK000074,TXN937553621743,59176.87,Chatterjee & Sons,2026-07-09,2026-07-09 02:00:25,IMPS
BNK000066,TXN423598812685,112367.87,Pillai & Co,2026-06-24,2026-06-24 23:19:31,IMPS
BNK000023,TXN756202235126,226772.15,Prime Beverages & Co,2026-07-19,2026-07-19 08:08:49,RTGS
BNK000067,TXN098894333023,129062.34,Krishna Plastics Trading Co,2026-07-28,2026-07-28 17:27:20,IMPS
BNK000034,TXN100452277469,152539.27,Nova Hardware & Co,2026-07-13,2026-07-13 02:23:48,NEFT
BNK000003,TXN409572486117,172108.74,Verma & Co,2026-07-23,2026-07-23 02:16:19,RTGS
BNK000088,TXN059498419369,132894.16,Jai Bakers Enterprises,2026-07-16,2026-07-16 18:08:48,NEFT
BNK000089,TXN717820269346,58243.13,Krishna Bakers LLP,2026-07-29,2026-07-29 22:57:26,IMPS
BNK000035,TXN8013752,156386.46,Modern Foods,2026-06-15,2026-06-15 16:17:15,RTGS
BNK000014,TXN659182871223,219872.58,Classic Solutions & Co,2026-07-10,2026-07-10 18:36:01,UPI
BNK000101,TXN055721252593,80180.11,Bose & Sons,2026-07-07,2026-07-07 08:53:26,NEFT
BNK000103,TXN960540752564,58044.01,Ganesh Steel Trading Co,2026-06-24,2026-06-24 03:02:43,CARD
BNK000044,TXN435642813425,159575.5,Sharma Rides & Co,2026-07-14,2026-07-14 18:08:12,UPI
BNK000082,TXN150572961937,220704.02,Joshi & Sons,2026-06-26,2026-06-26 05:13:56,CARD
BNK000028,TXN060444384115,193238.18,Reddy Mart Enterprises,2026-07-05,2026-07-05 09:47:16,RTGS
BNK000061,TXN304032690535,79180.54,Menon Brothers,2026-07-21,2026-07-21 11:19:54,UPI
BNK000113,TXN963794025555,228623.83,Vertex Packaging LLP,2026-07-12,2026-07-12 22:30:16,CARD
BNK000027,3595939158,141079.58,Meht aGrocers LLP,2026-07-09,2026-07-09 19:52:44,UPI
BNK000064,TXN065039371912,177260.39,Chatterjee Commerce LLP,2026-07-13,2026-07-13 23:38:17,CARD
BNK000073,9063869167,106683.29,Menon & Sons,2026-07-17,2026-07-17 14:11:12,IMPS
BNK000013,TXN623704990229,141403.32,Patel Brothers,2026-06-16,2026-06-16 09:37:19,NEFT
BNK000090,TXN703261664434,212833.33,Jai Commerce LLP,2026-07-16,2026-07-16 20:35:01,RTGS
BNK000039,TXN744441157107,138139.23,Classic Foods LLP,2026-07-02,2026-07-02 23:32:01,CARD
BNK000076,TXN243549180374,178087.81,Iyer Grocers,2026-06-15,2026-06-15 06:06:07,NEFT
BNK000036,TXN507857154294,149657.05,Kulkarni Pharma Pvt Ltd,2026-06-06,2026-06-06 06:58:03,CARD
BNK000006,TXN883089040771,134991.08,Sharma Fintech Trading Co,2026-06-02,2026-06-02 05:18:01,RTGS
BNK000118,TXN189546484007,35234.14,Kapoor & Sons,2026-07-26,2026-07-26 14:45:04,IMPS
BNK000121,TXN711328316630,67030.94,Reddy Agro Industries,2026-07-29,2026-07-29 04:45:22,NEFT
BNK000045,TXN978972821277,248203.23,Chatterjee Plastics Pvt Ltd,2026-07-07,2026-07-07 20:08:06,UPI
BNK000052,TXN984174831165,113105.93,Verma Cables & Co,2026-06-30,2026-06-30 20:31:32,UPI
BNK000015,TXN031914751961,213300.04,Verma & Sons,2026-07-11,2026-07-11 14:17:49,RTGS
BNK000136,TXN795939912373,146083.04,Jai Motors & Sons,2026-06-18,2026-06-18 20:19:44,UPI
BNK000042,TXN337780069974,242339.52,Chatterjee Enterprises Industries,2026-07-25,2026-07-25 23:18:33,CARD
BNK000096,TXN066982054682,205891.5,Nair Brothers,2026-06-13,2026-06-13 23:58:06,UPI
BNK000099,TXN036008562293,60848.13,Gupta Beverages Enterprises,2026-06-06,2026-06-06 19:36:58,NEFT
BNK000075,TXN101798996752,65580.77,Patel Brothers,2026-07-15,2026-07-15 12:54:10,UPI
BNK000007,TXN736384200550,41459.24,Bose Hardware,2026-07-19,2026-07-19 23:50:13,NEFT
BNK000071,TXN833384062806,158069.34,Sundar Rides Pvt Ltd,2026-06-19,2026-06-19 03:24:49,NEFT
BNK000016,TXN221784619898,145704.66,Sri Wellness Enterprises,2026-07-28,2026-07-28 03:42:04,RTGS
BNK000114,TXN491913424446,115913.28,Agarwal Apparels Enterprises,2026-06-02,2026-06-02 15:06:43,RTGS
BNK000094,TXN503099090477,139831.6,Sharma & Sons Pvt Ltd,2026-06-17,2026-06-17 03:00:51,NEFT
BNK000095,TXN181931987947,161564.62,Menon & Sons Pvt Ltd,2026-06-25,2026-06-25 03:24:46,CARD
BNK000120,TXN864678855519,112550.51,Classic Foods & Sons,2026-06-14,2026-06-14 23:40:07,RTGS
BNK000131,TXN042835025364,142959.82,Verma Exports & Sons,2026-07-22,2026-07-22 19:46:03,IMPS
BNK000109,TXN-1340-4440-2265,3273.97,Sunrise Motors,2026-06-11,2026-06-11 21:38:01,NEFT
BNK000010,3972677641,231687.02,Modern Timber Trading Co,2026-06-14,2026-06-14 13:56:58,UPI
BNK000106,TXN925586537760,140946.26,Sharma & Co,2026-07-08,2026-07-08 05:50:07,IMPS
BNK000011,TXN190156218256,144911.68,Kulkarni Logistics Pvt Ltd,2026-07-08,2026-07-08 16:29:36,CARD
BNK000008,TXN219547810444,14866.67,Shiv Textiles,2026-06-16,2026-06-16 05:35:21,IMPS
BNK000060,0964556869,239625.9,Laxmi Electronic LLP,2026-06-17,2026-06-17 09:06:10,CARD
BNK000087,TXN342425961652,135954.68,Joshi & Co,2026-06-19,2026-06-19 00:44:15,UPI
BNK000019,TXN661956365163,664.63,Rana Fashions Enterprises,2026-06-28,2026-06-28 01:30:05,RTGS
BNK000047,TXN879983705466,236150.77,Kulkarni & Sons,2026-06-30,2026-06-30 05:10:08,NEFT
BNK000032,TXN2967102,74202.73,Sharma & Co,2026-06-18,2026-06-18 00:46:02,CARD
BNK000085,TXN425648775594,60719.68,Reddy Fashions Pvt Ltd,2026-06-29,2026-06-29 08:42:29,NEFT
BNK000119,8380759187,56355.58,Chawla & Sons Pvt Ltd,2026-07-06,2026-07-06 18:21:50,CARD
BNK000054,TXN553136787963,17005.35,Modern Electronics Enterprises,2026-07-22,2026-07-22 08:12:23,UPI
BNK000040,TXN568443739892,85145.98,Sharma Brothers,2026-07-17,2026-07-17 13:45:50,CARD
BNK000012,TXN190156218256,144911.68,Kulkarni Logistics Pvt Ltd,2026-07-08,2026-07-08 16:30:04,CARD
BNK000093,TXN518467484014,175993.73,Reddy Logistics,2026-07-28,2026-07-28 17:53:11,CARD
BNK000053,TXN724234404631,95378.14,Menon & Sons Pvt Ltd,2026-06-07,2026-06-07 22:57:24,CARD
BNK000051,TXN137502141043,69524.42,Sunrise Pharma LLP,2026-06-08,2026-06-08 22:30:45,UPI
BNK000128,TXN744651009913,17048.96,Sri Furnishings,2026-06-19,2026-06-19 21:15:58,CARD
BNK000127,TXN080333845149,73996.4,Prime Handlooms Private Limited,2026-06-16,2026-06-16 15:47:52,CARD
BNK000043,TXN231557108629,176026.95,Sundar Wellness Pvt Ltd,2026-06-03,2026-06-03 13:46:15,UPI
BNK000105,TXN580502884009,94433.12,Sharma Distributors Private Limited,2026-07-02,2026-07-02 17:08:35,RTGS
BNK000058,TXN-5880-8009-8557,72479.88,Bose & Co,2026-06-09,2026-06-09 13:17:28,NEFT
BNK000115,TXN115924164061,11384.37,Shiv Electronics LLP,2026-07-30,2026-07-30 20:03:03,CARD
BNK000134,TXN528009419830,35078.18,Maa Fashions Industries,2026-06-23,2026-06-23 19:59:32,UPI
BNK000055,TXN588986609821,53368.02,Jai Packaging,2026-06-24,2026-06-24 06:50:07,RTGS
BNK000029,TXN329247563434,154127.04,Menon & Sons Pvt Ltd,2026-07-23,2026-07-23 23:55:24,RTGS
BNK000025,TXN789959560481,224516.33,Bose & Sons Pvt Ltd,2026-06-02,2026-06-02 14:30:47,IMPS
BNK000110,TXN486536641337,34002.67,Kulkarni & Sons Pvt Ltd,2026-07-22,2026-07-22 13:35:26,RTGS
BNK000129,TXN345296450811,205678.67,Nair Brothers,2026-07-17,2026-07-17 02:42:27,UPI
BNK000116,TXN342856565386,97370.77,Balaji Textiles Private Limited,2026-07-22,2026-07-22 14:20:20,RTGS
