ledger_id,txn_id,amount,merchant_name,txn_date,txn_datetime,payment_mode,status
LDG000015,TXN221784619898,145704.66,Sri Wellness Enterprises,2026-07-28,2026-07-28 02:40:41,RTGS,POSTED
LDG000091,TXN493797887657,159825.12,Kapoor & Co,2026-06-15,2026-06-15 07:40:22,NEFT,POSTED
LDG000068,TXN720351653957,155765.22,Kapoor & Sons,2026-07-11,2026-07-11 17:53:29,NEFT,POSTED
LDG000034,TXN801375216695,156386.46,Modern Foods,2026-06-15,2026-06-15 22:36:36,RTGS,POSTED
LDG000066,TXN098894333023,129062.34,Krishna Plastics Trading Co,2026-07-28,2026-07-28 17:31:10,IMPS,POSTED
LDG000070,TXN833384062806,158069.34,Sundar Rides Pvt Ltd,2026-06-19,2026-06-19 09:31:50,NEFT,POSTED
LDG000011,TXN190156218256,144911.68,Kulkarni Logistics Pvt Ltd,2026-07-08,2026-07-08 15:40:45,CARD,POSTED
LDG000138,TXN549531328709,50072.58,Shah Solutions Pvt Ltd,2026-06-25,2026-06-25 23:56:34,IMPS,POSTED
LDG000128,TXN044637717719,190906.33,Gupta Wellness Industries,2026-07-17,2026-07-17 07:35:04,NEFT,POSTED
LDG000004,TXN781165354259,146297.88,Joshi & Co,2026-06-09,2026-06-09 16:42:51,UPI,POSTED
LDG000125,TXN262672908826,110701.51,Maa Foods Industries,2026-06-23,2026-06-23 15:41:34,NEFT,POSTED
LDG000033,TXN100452277469,152539.27,Nova Hardware & Co,2026-07-13,2026-07-13 01:09:30,NEFT,POSTED
LDG000136,TXN528009419830,35078.18,Maa Fashions Industries,2026-06-24,2026-06-24 22:21:32,UPI,POSTED
LDG000065,TXN423598812685,112367.87,Pillai & Co,2026-06-24,2026-06-24 22:56:44,IMPS,POSTED
LDG000104,TXN580502884009,94433.12,Sharma Distributors Private Limited,2026-07-02,2026-07-02 17:02:41,RTGS,POSTED
LDG000093,TXN503099090477,139831.6,Sharma & Sons Pvt Ltd,2026-06-17,2026-06-17 03:43:49,NEFT,POSTED
LDG000126,TXN080333845149,73996.4,Prime Handlooms Private Limited,2026-06-16,2026-06-16 16:58:39,CARD,POSTED
LDG000084,TXN425648775594,60719.68,Reddy Fashions Pvt Ltd,2026-06-29,2026-06-29 11:23:47,NEFT,POSTED
LDG000133,TXN484755635061,243158.09,Gupta & Sons,2026-07-29,2026-07-29 08:37:34,CARD,POSTED
LDG000046,TXN879983705466,236150.77,Kulkarni & Sons,2026-06-30,2026-06-30 02:11:08,NEFT,POSTED
LDG000028,TXN329247563434,154127.04,Menon & Sons Pvt Ltd,2026-07-23,2026-07-23 23:54:32,RTGS,POSTED
LDG000019,TXN763465797626,43687.34,Bansal & Sons,2026-06-20,2026-06-20 05:44:57,IMPS,POSTED
LDG000116,TXN131355445991,176570.45,Chawla Enterprises LLP,2026-06-21,2026-06-21 06:54:31,RTGS,POSTED
LDG000102,TXN960540752564,58044.01,Ganesh Steel Trading Co,2026-06-24,2026-06-24 00:23:52,CARD,POSTED
LDG000071,TXN372044912132,92188.06,Menon Handlooms Enterprises,2026-06-12,2026-06-12 13:59:09,IMPS,POSTED
LDG000008,TXN219547810444,14866.67,Shiv Textiles,2026-06-16,2026-06-16 10:19:00,IMPS,POSTED
LDG000129,TXN345296450811,205678.67,Nair Brothers,2026-07-17,2026-07-17 05:03:39,UPI,POSTED
LDG000043,TXN435642813425,159575.5,Sharma Rides & Co,2026-07-14,2026-07-14 19:59:37,UPI,POSTED
LDG000016,TXN304193882632,6415.92,Bose & Co,2026-06-18,2026-06-18 07:57:48,UPI,POSTED
LDG000039,TXN568443739892,85145.98,Sharma Brothers,2026-07-17,2026-07-17 11:18:38,CARD,POSTED
LDG000012,TXN623704990229,141403.32,Patel Brothers,2026-06-16,2026-06-16 10:13:02,NEFT,POSTED
LDG000040,TXN919318090189,193924.32,Pillai Handlooms Industries,2026-07-13,2026-07-13 22:27:40,IMPS,POSTED
LDG000062,TXN627698351396,97022.67,Kapoor Logistics Enterprises,2026-06-05,2026-06-05 11:15:33,CARD,POSTED
LDG000109,TXN486536641337,34002.67,Kulkarni & Sons Pvt Ltd,2026-07-22,2026-07-22 10:45:50,RTGS,POSTED
LDG000080,TXN034250258620,180342.79,Prime Steel Trading Co,2026-07-02,2026-07-02 05:42:48,UPI,POSTED
LDG000112,TXN963794025555,228623.83,Vertex Packaging LLP,2026-07-12,2026-07-12 21:51:34,CARD,POSTED
LDG000014,TXN031914751961,213300.04,Verma & Sons,2026-07-11,2026-07-11 12:03:57,RTGS,POSTED
LDG000051,TXN984174831165,113105.93,Verma Cables & Co,2026-06-30,2026-06-30 22:01:39,UPI,POSTED
LDG000083,TXN526952045773,177258.68,Royal Commerce Private Limited,2026-06-27,2026-06-27 20:16:02,UPI,POSTED
LDG000100,TXN055721252593,80180.11,Bose & Sons,2026-07-07,2026-07-07 07:51:42,NEFT,POSTED
LDG000057,TXN588080098557,72479.88,Bose & Co,2026-06-09,2026-06-09 15:36:55,NEFT,POSTED
LDG000053,TXN553136787963,17005.35,Modern Electronics Enterprises,2026-07-22,2026-07-22 05:15:26,UPI,POSTED
LDG000117,TXN189546484007,35234.14,Kapoor & Sons,2026-07-26,2026-07-26 11:16:17,IMPS,POSTED
LDG000120,TXN711328316630,67030.94,Reddy Agro Industries,2026-07-29,2026-07-29 01:14:11,NEFT,POSTED
LDG000077,TXN135519167685,56577.8,Rao Enterprises & Co,2026-06-13,2026-06-13 21:16:43,RTGS,POSTED
LDG000107,TXN471045510557,178025.76,Chatterjee Fintech Enterprises,2026-06-07,2026-06-07 02:34:28,RTGS,POSTED
LDG000006,TXN883089040771,134991.08,Sharma Fintech Trading Co,2026-06-02,2026-06-02 07:11:23,RTGS,POSTED
LDG000092,TXN518467484014,175993.73,Reddy Logistics,2026-07-28,2026-07-28 12:38:18,CARD,POSTED
LDG000035,TXN507857154294,149657.05,Kulkarni Pharma Pvt Ltd,2026-06-06,2026-06-06 09:54:26,CARD,POSTED
LDG000050,TXN137502141043,69524.42,Sunrise Pharma LLP,2026-06-08,2026-06-08 21:42:58,UPI,POSTED
LDG000002,TXN481367606524,176191.54,Annapurna Enterprises & Sons,2026-07-26,2026-07-26 06:39:31,RTGS,POSTED
LDG000088,TXN717820269346,58243.13,Krishna Bakers LLP,2026-07-30,2026-07-30 00:49:31,IMPS,POSTED
LDG000122,TXN091494998388,84595.22,Pillai Commerce Pvt Ltd,2026-06-03,2026-06-03 01:31:40,IMPS,POSTED
LDG000121,TXN880966873984,192295.88,Mehta Grocers Trading Co,2026-07-02,2026-07-02 08:28:32,UPI,POSTED
LDG000106,TXN742531537220,86572.67,Om Commerce Industries,2026-07-20,2026-07-20 11:23:32,RTGS,POSTED
LDG000103,TXN233459268687,45030.89,Nair Motors & Sons,2026-07-10,2026-07-10 16:48:56,RTGS,POSTED
LDG000013,TXN659182871223,219872.58,Classic Solutions & Co,2026-07-10,2026-07-10 23:56:25,UPI,POSTED
LDG000061,TXN948890607956,184773.06,Malhotra Fashions Enterprises,2026-07-09,2026-07-09 18:50:56,NEFT,POSTED
LDG000049,TXN039728558277,15305.31,Classic Enterprises & Sons,2026-07-12,2026-07-12 22:51:24,UPI,POSTED
LDG000131,TXN042835025364,142959.82,Verma Exports & Sons,2026-07-22,2026-07-22 12:08:42,IMPS,POSTED
LDG000082,TXN851819336855,188797.71,Chatterjee Steel Pvt Ltd,2026-06-03,2026-06-03 00:05:14,RTGS,POSTED
LDG000095,TXN066982054682,205891.5,Nair Brothers,2026-06-13,2026-06-13 23:57:11,UPI,POSTED
LDG000094,TXN181931987947,161564.62,Menon & Sons Pvt Ltd,2026-06-25,2026-06-25 04:21:54,CARD,POSTED
LDG000054,TXN588986609821,53368.02,Jai Packaging,2026-06-24,2026-06-24 03:37:07,RTGS,POSTED
LDG000097,TXN421522814044,106935.07,Malhotra & Sons Pvt Ltd,2026-07-21,2026-07-21 17:48:45,IMPS,POSTED
LDG000038,TXN744441157107,138139.23,Classic Foods LLP,2026-07-02,2026-07-02 22:58:30,CARD,POSTED
LDG000075,TXN243549180374,178087.81,Iyer Grocers,2026-06-15,2026-06-15 01:02:23,NEFT,POSTED
LDG000044,TXN978972821277,248203.23,Chatterjee Plastics Pvt Ltd,2026-07-07,2026-07-07 22:07:05,UPI,POSTED
LDG000056,TXN142646035032,68200.53,Kapoor & Sons Pvt Ltd,2026-06-27,2026-06-27 04:34:35,CARD,POSTED
LDG000139,TXN795939912373,146083.04,Jai Motors & Sons,2026-06-18,2026-06-18 15:00:51,UPI,POSTED
LDG000020,TXN096748573316,23577.25,Vertex Wellness & Sons,2026-07-22,2026-07-22 03:50:23,UPI,POSTED
LDG000069,TXN376773058174,97751.54,Chatterjee Grocers & Co,2026-07-18,2026-07-18 01:16:22,UPI,POSTED
LDG000086,TXN342425961652,135954.68,Joshi & Co,2026-06-19,2026-06-19 01:36:44,UPI,POSTED
LDG000036,TXN362985433945,242314.53,Kulkarni Brothers,2026-07-13,2026-07-13 05:40:36,NEFT,POSTED
LDG000098,TXN036008562293,60848.13,Gupta Beverages Enterprises,2026-06-06,2026-06-06 20:07:04,NEFT,POSTED
LDG000001,TXN333204190268,40082.84,Nair & Co,2026-07-19,2026-07-19 12:34:55,UPI,POSTED
LDG000085,TXN299776445972,115049.78,Joshi Pharma Trading Co,2026-06-13,2026-06-13 07:39:21,CARD,POSTED
LDG000096,TXN578289542557,58721.51,Maa Steel & Co,2026-06-15,2026-06-15 23:12:21,RTGS,POSTED
LDG000135,TXN793028198550,171642.81,Kapoor Mart & Sons,2026-07-24,2026-07-24 08:16:50,UPI,POSTED
LDG000032,TXN917672544893,100274.33,Rana Logistics LLP,2026-06-10,2026-06-10 18:57:16,UPI,POSTED
LDG000081,TXN150572961937,220704.02,Joshi & Sons,2026-06-26,2026-06-26 03:48:36,CARD,POSTED
LDG000059,TXN170964556869,239625.9,Laxmi Electronics LLP,2026-06-17,2026-06-17 07:27:04,CARD,POSTED
LDG000029,TXN747664702635,85271.15,Mehta Automation Pvt Ltd,2026-07-04,2026-07-04 03:27:40,NEFT,POSTED
LDG000118,TXN178380759187,56355.58,Chawla & Sons Pvt Ltd,2026-07-06,2026-07-06 17:30:02,CARD,POSTED
LDG000074,TXN101798996752,65580.77,Patel Brothers,2026-07-15,2026-07-15 18:38:14,UPI,POSTED
LDG000063,TXN065039371912,177260.39,Chatterjee Commerce LLP,2026-07-13,2026-07-13 23:57:46,CARD,POSTED
LDG000030,TXN111571247952,86136.67,Kulkarni Packaging Trading Co,2026-06-18,2026-06-18 11:13:42,NEFT,POSTED
LDG000130,TXN431985974347,223649.74,Laxmi Steel Pvt Ltd,2026-06-03,2026-06-03 00:54:29,UPI,POSTED
LDG000079,TXN121410984998,85161.22,Kulkarni Packaging Industries,2026-06-09,2026-06-09 11:33:36,CARD,POSTED
LDG000048,TXN869262423939,34090.91,Bansal Bakers LLP,2026-07-27,2026-07-27 14:38:30,UPI,POSTED
LDG000078,TXN646294862004,7243.5,Chawla Pharma & Sons,2026-07-20,2026-07-20 20:19:32,CARD,POSTED
LDG000010,TXN103972677641,231687.02,Modern Timber Trading Co,2026-06-14,2026-06-14 14:10:42,UPI,POSTED
LDG000022,TXN756202235126,226772.15,Prime Beverages & Co,2026-07-19,2026-07-19 03:53:04,RTGS,POSTED
LDG000021,TXN028486959867,215218.66,Shah & Co,2026-07-22,2026-07-22 23:45:24,IMPS,POSTED
LDG000134,TXN171143137448,78934.28,Kulkarni Fintech Trading Co,2026-06-18,2026-06-18 08:31:52,NEFT,POSTED
LDG000124,TXN771915064761,119525.67,Jai Electronics Enterprises,2026-06-24,2026-06-24 09:32:02,IMPS,POSTED
LDG000087,TXN059498419369,132894.16,Jai Bakers Enterprises,2026-07-16,2026-07-16 15:11:33,NEFT,POSTED
LDG000072,TXN299063869167,106683.29,Menon & Sons,2026-07-17,2026-07-17 15:18:34,IMPS,POSTED
LDG000052,TXN724234404631,95378.14,Menon & Sons Pvt Ltd,2026-06-07,2026-06-07 23:41:20,CARD,POSTED
LDG000067,TXN400285751230,162621.35,Sri Fresh Foods Trading Co,2026-07-15,2026-07-15 07:52:29,IMPS,POSTED
LDG000031,TXN296710243928,74202.73,Sharma & Co,2026-06-18,2026-06-18 02:52:56,CARD,POSTED
LDG000018,TXN661956365163,664.63,Rana Fashions Enterprises,2026-06-28,2026-06-28 03:25:11,RTGS,POSTED
LDG000055,TXN053413395817,77383.64,Krishna Apparels Industries,2026-06-05,2026-06-05 08:20:01,UPI,POSTED
LDG000047,TXN366647610091,205724.09,Vertex Industries,2026-06-02,2026-06-02 23:55:47,CARD,POSTED
LDG000045,TXN319342783521,34333.62,Malhotra Mart & Co,2026-07-21,2026-07-21 16:01:39,CARD,POSTED
LDG000037,TXN672594619621,164519.72,Verma & Co,2026-07-04,2026-07-04 14:58:28,IMPS,POSTED
LDG000127,TXN744651009913,17048.96,Sri Furnishings,2026-06-19,2026-06-19 23:15:24,CARD,POSTED
LDG000101,TXN749560089674,122303.63,Pillai Rides LLP,2026-07-17,2026-07-17 13:48:48,NEFT,POSTED
LDG000041,TXN337780069974,242339.52,Chatterjee Enterprises Industries,2026-07-25,2026-07-25 23:55:33,CARD,POSTED
LDG000005,TXN498251982661,28858.59,Malhotra Brothers,2026-06-08,2026-06-08 10:47:03,NEFT,POSTED
LDG000007,TXN736384200550,41459.24,Bose Hardware,2026-07-19,2026-07-19 23:45:43,NEFT,POSTED
LDG000076,TXN387619490111,205868.3,Malhotra & Sons,2026-06-29,2026-06-29 15:57:59,CARD,POSTED
LDG000042,TXN231557108629,176026.95,Sundar Wellness Pvt Ltd,2026-06-03,2026-06-03 12:15:47,UPI,POSTED
LDG000113,TXN491913424446,115913.28,Agarwal Apparels Enterprises,2026-06-02,2026-06-02 15:48:53,RTGS,POSTED
LDG000132,TXN566037373294,123492.49,Sunrise Motors LLP,2026-06-01,2026-06-01 16:19:15,NEFT,POSTED
LDG000025,TXN709209002862,53065.36,Mehta & Sons Pvt Ltd,2026-06-17,2026-06-17 03:27:50,UPI,POSTED
LDG000111,TXN709445965738,198858.62,Nova Wellness & Sons,2026-06-17,2026-06-17 23:02:38,IMPS,POSTED
LDG000023,TXN908549238857,16238.35,Menon Bakers Pvt Ltd,2026-06-14,2026-06-14 15:58:55,CARD,POSTED
LDG000058,TXN255333315159,101442.65,Bharat Rides Enterprises,2026-06-06,2026-06-06 09:59:33,UPI,POSTED
LDG000073,TXN937553621743,59176.87,Chatterjee & Sons,2026-07-09,2026-07-09 08:21:50,IMPS,POSTED
LDG000060,TXN304032690535,79180.54,Menon Brothers,2026-07-21,2026-07-21 09:48:19,UPI,POSTED
LDG000017,TXN192147365352,69952.51,Rana Brothers,2026-06-02,2026-06-02 06:22:37,RTGS,POSTED
LDG000009,TXN144229485098,168487.43,Sri Furnishings Enterprises,2026-07-22,2026-07-22 06:01:20,NEFT,POSTED
